node,label
HIF1A,0
KLF4,0
ABCB1,0
DNMT1,0
JAK2,0
RUNX3,0
STAT3,0
MDM2,0
EGFR,0
TGFB1,0
MMP9,0
NFKB1,0
VEGFA,0
MMP2,0
SERPINE1,0
MTMR3,0
ITGA2,0
CRNDE,0
PTENP1,0
BANCR,0
BLACAT1,0
HAGLROS,0
MAP3K20,0
MT1JP,0
PTENP1-AS,0
PWRN1,0
SNHG14,0
MSTO2P,0
TINCR,0
TUBB2A,0
AKR7L,0
LINC00324,0
DLEU1,0
LINC00265,0
MCM3AP-AS1,0
AF147447,0
SOX2OT,0
RMRP,0
BC032469,0
ciRS-7,0
ATB,0
CAT104,0
LINC00152,0
LINC00483,0
lincRNA-ROR,0
AK027145,0
HIX0023999,0
LINC01296,0
LOC101927497,0
M18204.1,0
XLOC_000983,0
XLOC_005104,0
XLOC_006324,0
AC130710,0
ANRIL,0
BC040587,0
DQ192290,0
LOC150622,0
LOC553103,0
M59227,0
D63785,0
GASL1,0
RUNX1,0
ZEB1,0
PCNA,0
CD151,0
FGF2,0
GLI2,0
E2F2,0
MT2A,0
E2F1,0
CCND2,0
IGF1R,0
BCL2,0
ZNF217,0
AGO4,0
ATG9A,0
MCL1,0
SPAG9,0
CBFB,0
DDX5,0
MTOR,0
CREB1,0
E2F3,0
ATG12,0
HMGB2,0
CRKL,0
PDK1,0
SOX4,0
PIK3R2,0
CDH2,0
MEF2D,0
CDK4,0
CXCL9,0
BCAT1,0
SPARC,0
ACLY,0
MSI2,0
CXCR4,0
COL3A1,0
FBN1,0
FOXP1,0
KIF2A,0
BRMS1,0
RAI14,0
METTL3,0
XBP1,0
UPF1,0
HMGA2,0
RAB10,0
HK2,0
BTG3,0
ROCK2,0
PRAF2,0
CXCL5,0
COL1A2,0
VIM,0
ATG14,0
RSF1,0
LDHA,0
ULK1,0
NTRK3,0
HMGA1,0
ANGPT2,0
CDC5L,0
WNT2,0
SP1,0
CHD7,0
COX2,0
WT1,0
MAP3K2,0
HDAC4,0
ETS2,0
CDK14,0
MYO6,0
JAG1,0
CDK8,0
SRF,0
CircPVT1,0
SOX2,0
RP11-1094M14.8,0
MCF2L-AS1,0
PPP1R26-AS1,0
CCDC18-AS1,0
TRG-AS1,0
SH3BP5-AS1,0
TTC28-AS1,0
LINC_00355,0
LINC00514,0
CircVAPA,0
LINC00936,0
NCK1-AS1,0
Circ_0049447,0
AL139002.1,0
Circ_C16orf62,0
CircMCTP2,0
CTBP1-AS2,0
CUL2,0
FBXL19-AS1,0
GCMA,0
JHDM1D-AS1,0
LINC01572,0
LINC01667,0
LOC400043,0
NUTM2A-AS1,0
TSPEAR-AS2,0
Circ_0009172,0
LINC01207,0
Circ-LDLRAD3,0
CircRNA_0005529,0
circ-SFMBT2,0
CES4,0
RP11-874J12.4,0
HYPAL,0
LINC01224,0
hsa-mir-141,0
hsa-mir-186,0
hsa-mir-101,0
hsa-mir-1297,0
hsa-mir-7,0
hsa-mir-381,0
hsa-mir-148a,0
hsa-mir-590,0
hsa-mir-335,0
hsa-mir-320,0
hsa-mir-449a,0
hsa-mir-144,0
hsa-mir-bart6,0
hsa-mir-181,0
hsa-mir-1269a,0
hsa-mir-367,0
hsa-mir-143,0
hsa-let-7b,0
hsa-let-7a,0
hsa-let-7f,0
hsa-let-7d,0
hsa-let-7i,0
hsa-let-7e,0
hsa-let-7g,0
hsa-mir-1,0
hsa-mir-1179,0
hsa-mir-1197,0
hsa-mir-577,0
hsa-mir-876,0
hsa-mir-379,0
hsa-mir-183a,0
hsa-mir-30e,0
hsa-mir-128,0
hsa-mir-103,0
hsa-mir-421,0
hsa-mir-142,0
hsa-mir-450a-2,0
hsa-mir-4766,0
hsa-mir-1276,0
hsa-mir-429,0
hsa-mir-616,0
hsa-mir-495,0
HER,0
NAN,0
MUC2,0
HTERT,0
PI3K,0
NCF2,0
ATG9B,0
HER2,0
VEGF,0
PKM2,0
AKT,0
P53,0
TMPRSS4,0
ARGO2,0
TGFB,0
MSTOP2,0
AGO2,0
CLDN4,0
DRD5,0
GDF5,0
PRC2,0
ISM1,0
CYCLIN-D2,0
C-MET,0
SNAIL,0
HLA-G,0
SNAL1,0
SDAD1,0
CITED2,0
SLC12A7,0
KYNU,0
TTF2,0
KIF21B,0
COL5A2,0
DNAJB12,0
PHF19,0
LD,0
GRP78,0
FOXC2,0
CBX4,0
LTBR,0
ZC3H12A,0
CDC25A,0
HAV,0
MMP11,0
DRAM2,0
FOXP4,0
CYCLIN-E1,0
ARL2,0
CYP1B1,0
H3K4ME3,0
P21,0
SMAD5,0
PDL1,0
MTUS1,0
PODXL,0
BRCC3,0
NRP2,0
FOXC1,0
FGF7,0
G6PD,0
GNG7,0
TUSC3,0
DUSP2,0
SSR2,0
RAB19,0
CCNG1,0
TWIST,0
AFAP1,0
WIPF1,0
hsa-mir-106b,1
hsa-mir-93,1
hsa-mir-202,1
hsa-mir-125a,1
hsa-mir-145,1
hsa-mir-497,1
hsa-mir-32,1
hsa-mir-23a,1
hsa-mir-375,1
hsa-mir-122,1
hsa-mir-106a,1
hsa-mir-181a,1
hsa-mir-200c,1
hsa-mir-361,1
hsa-mir-21,1
hsa-mir-100,1
hsa-mir-193a,1
hsa-mir-30a,1
hsa-mir-92a,1
hsa-mir-551b,1
hsa-mir-185,1
hsa-mir-148b,1
hsa-let-7c,1
hsa-mir-23b,1
hsa-mir-596,1
hsa-mir-99a,1
hsa-mir-200a,1
hsa-mir-200b,1
hsa-mir-9,1
hsa-mir-126,1
hsa-mir-27b,1
hsa-mir-34a,1
hsa-mir-194,1
hsa-mir-422a,1
hsa-mir-3200,1
hsa-mir-153,1
hsa-mir-424,1
hsa-mir-105,1
hsa-mir-124,1
hsa-mir-1224,1
hsa-mir-3934,1
hsa-mir-103a,1
hsa-mir-29a,1
hsa-mir-15a,1
hsa-mir-942,1
hsa-mir-519d,1
hsa-mir-4700,1
hsa-mir-500a,1
hsa-mir-184,1
hsa-mir-22,1
hsa-mir-16,1
hsa-mir-324,1
hsa-mir-490,1
hsa-mir-431,1
hsa-mir-224,1
hsa-mir-363,1
hsa-mir-27a,1
hsa-mir-133a,1
hsa-mir-376a,1
hsa-mir-3619,1
hsa-mir-370,1
hsa-mir-299,1
hsa-mir-1301,1
hsa-mir-212,1
hsa-mir-527,1
hsa-mir-885,1
hsa-mir-195,1
hsa-mir-140,1
hsa-mir-20a,1
hsa-mir-519e,1
hsa-mir-3972,1
MACC1,1
H19,1
HOTAIR,1
EZH2,1
MET,1
FGFR2,1
MALAT1,1
TUG1,1
XIST,1
NEAT1,1
SNHG12,1
UCA1,1
TP73-AS1,1
HNF1A-AS1,1
KCNQ1OT1,1
AFAP1-AS1,1
PTEN,1
FBXW7,1
RB1,1
APC,1
PIK3R1,1
KRAS,1
BCL9,1
PTPRD,1
SMAD4,1
TET1,1
CTNNB1,1
FOXO1,1
PVT1,1
SNHG5,1
GAS5,1
HOXA11-AS,1
FER1L4,1
MEG3,1
LINC01234,1
MIAT,1
SMARCC2,1
SNHG6,1
LINC01133,1
FGD5-AS1,1
OIP5-AS1,1
TMPO-AS1,1
HCP5,1
MIR99AHG,1
HCG18,1
HCG11,1
LINC00665,1
FENDRR,1
NKX2-1-AS1,1
HOXA-AS3,1
SNHG11,1
PINK1-AS,1
LINC00473,1
CYTOR,1
CA3-AS1,1
LBX2-AS1,1
LIFR-AS1,1
LINC00200,1
LINC00858,1
LINC01089,1
LINC01503,1
SNHG3,1
SNHG4,1
SNHG7,1
TMEM87A,1
CASC9,1
DRAIC,1
LINC00184,1
MSC-AS1,1
LINC00963,1
LINC-ROR,1
LINC00242,1
LINC00511,1
MIR503HG,1
NR2F1-AS1,1
RGMB-AS1,1
IGF2-AS,1
LINC01320,1
UBE2CP3,1
DLEU2,1
TUSC7,1
CircHIPK3,1
CircNFATC3,1
BLACAT2,1
BX357664,1
hsa_circ_0000117,1
CircBFAR,1
hsa_circ_0004872,1
HIF1A-AS2,1
CircLMO7,1
circEVI5,1
CDR1as,1
CCAT1,1
LOC100505817,1
ASNR,1
ATG5,1
hsa-mir-675,1
hsa-mir-331,1
hsa-mir-152,1
hsa-mir-125b,1
hsa-mir-34c,1
hsa-mir-206,1
hsa-mir-1207,1
hsa-mir-532,1
hsa-mir-204,1
hsa-mir-214,1
hsa-mir-506,1
hsa-mir-425,1
hsa-mir-199a,1
hsa-mir-199b,1
hsa-mir-574,1
hsa-mir-770,1
hsa-mir-129,1
hsa-mir-661,1
hsa-mir-940,1
hsa-mir-1193,1
hsa-mir-337,1
hsa-mir-149,1
hsa-mir-193b,1
hsa-mir-513a,1
hsa-mir-139,1
hsa-mir-197,1
hsa-mir-4319,1
hsa-mir-138,1
hsa-mir-483,1
hsa-mir-485,1
hsa-mir-18a,1
hsa-mir-4698,1
hsa-mir-612,1
hsa-mir-4793,1
hsa-mir-493,1
hsa-mir-326,1
hsa-mir-205,1
LINC00473,1
